               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.023362,             0.00387,          0.00046437,             0.95296,             0.95608,             0.96087,             0.72546,             0.02136,           0.0020364,          0.00047308,           0.0031716,           0.0031716,           0.0031716
                  92,            0.023015,            0.003833,          0.00038161,             0.94394,             0.96782,             0.96638,             0.74804,            0.020855,           0.0020106,          0.00048007,           0.0030985,           0.0030985,           0.0030985
                  93,            0.022793,           0.0038313,          0.00031776,             0.95553,             0.96071,             0.96474,             0.74669,            0.020643,           0.0020042,          0.00044638,           0.0030274,           0.0030274,           0.0030274
                  94,            0.022814,           0.0038115,          0.00037984,             0.95541,             0.96027,             0.96259,             0.74142,            0.021103,           0.0019826,          0.00046374,           0.0029584,           0.0029584,           0.0029584
                  95,            0.022669,            0.003844,          0.00031584,              0.9597,             0.95696,             0.96834,             0.74169,            0.020841,            0.002019,          0.00043705,           0.0028914,           0.0028914,           0.0028914
                  96,            0.022799,           0.0037659,          0.00038279,             0.95587,             0.95678,             0.96532,             0.73712,             0.02115,            0.002009,          0.00041702,           0.0028266,           0.0028266,           0.0028266
                  97,            0.023131,           0.0038743,          0.00036268,             0.95303,             0.95628,             0.96347,             0.73917,            0.020977,           0.0020081,           0.0003883,           0.0027639,           0.0027639,           0.0027639
                  98,            0.022801,           0.0037905,          0.00028282,             0.95256,             0.95987,              0.9635,             0.73531,            0.021246,           0.0019881,          0.00054675,           0.0027035,           0.0027035,           0.0027035
                  99,            0.022796,           0.0037719,          0.00040831,             0.95576,             0.96656,             0.96618,             0.74298,            0.020951,           0.0019904,          0.00041507,           0.0026453,           0.0026453,           0.0026453
                 100,            0.022061,           0.0037844,          0.00030849,             0.96074,             0.96028,             0.96759,             0.75683,            0.020288,           0.0019433,          0.00040411,           0.0025894,           0.0025894,           0.0025894
                 101,            0.022767,            0.003788,          0.00039654,             0.95666,             0.96264,             0.96613,             0.74541,            0.020687,           0.0019658,          0.00053198,           0.0025359,           0.0025359,           0.0025359
                 102,            0.022513,           0.0038434,          0.00037372,             0.95482,             0.96617,             0.96551,             0.74576,            0.020273,           0.0019589,          0.00048505,           0.0024847,           0.0024847,           0.0024847
                 103,            0.021941,           0.0036377,          0.00029091,             0.95029,             0.95119,             0.96521,             0.71877,            0.022376,           0.0019983,          0.00047129,            0.002436,            0.002436,            0.002436
                 104,            0.022047,           0.0036699,          0.00032801,             0.94473,              0.9671,             0.96161,               0.731,            0.021085,           0.0019851,          0.00036589,           0.0023897,           0.0023897,           0.0023897
